"variablename","producttype","release_year","profile","category","_order","base","unittype","notinprofile","infltnfctr10to16"
"PrdctType","NA","NA","NA","NA",,"NA","NA","NA",
"Year","NA","NA","NA","NA",,"NA","NA","NA",
"GeoType","NA","NA","NA","NA",,"NA","NA","NA",
"GeogName","NA","NA","NA","NA",,"NA","NA","NA",
"GeoID","NA","NA","NA","NA",,"NA","NA","NA",
"NTA_Equiv","NA","NA","NA","NA",,"NA","NA","NA",
"PUMA_Equiv","NA","NA","NA","NA",,"NA","NA","NA",
"Pop_1","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Male","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Fem","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"PopU5","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Pop5t9","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Pop10t14","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Pop15t19","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Pop20t24","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Pop25t29","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Pop30t34","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Pop35t39","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Pop40t44","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Pop45t49","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Pop50t54","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Pop55t59","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Pop60t64","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
