"variablename","producttype","release_year","profile","category","_order","base","unittype","notinprofile","infltnfctr10to16"
"Pop65t69","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Pop70t74","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Pop75t79","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Pop80t84","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Pop85pl","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"PopU181","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"Pop65pl1","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop_1","basic","NA",
"MdAge","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"median","median","NA",
"PopU18_2","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"PopU18_2","basic","NA",
"PopU18M","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"PopU18_2","basic","NA",
"PopU18F","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"PopU18_2","basic","NA",
"Pop65pl2","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop65pl2","basic","NA",
"Pop65plM","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop65pl2","basic","NA",
"Pop65plF","ACS","2006-2010, 2013-2017","Demographic","Sex and Age",,"Pop65pl2","basic","NA",
"Pop_2","ACS","2006-2010, 2013-2017","Demographic","Mutually Exclusive Race/Hispanic Origin",,"Pop_2","basic","NA",
"Hsp1","ACS","2006-2010, 2013-2017","Demographic","Mutually Exclusive Race/Hispanic Origin",,"Pop_2","basic","NA",
"NHsp","ACS","2006-2010, 2013-2017","Demographic","Mutually Exclusive Race/Hispanic Origin",,"Pop_2","basic","NA",
"WtNH","ACS","2006-2010, 2013-2017","Demographic","Mutually Exclusive Race/Hispanic Origin",,"Pop_2","basic","NA",
"BlNH","ACS","2006-2010, 2013-2017","Demographic","Mutually Exclusive Race/Hispanic Origin",,"Pop_2","basic","NA",
"AIANNH","ACS","2006-2010, 2013-2017","Demographic","Mutually Exclusive Race/Hispanic Origin",,"Pop_2","basic","NA",
"AsnNH","ACS","2006-2010, 2013-2017","Demographic","Mutually Exclusive Race/Hispanic Origin",,"Pop_2","basic","NA",
"NHPINH","ACS","2006-2010, 2013-2017","Demographic","Mutually Exclusive Race/Hispanic Origin",,"Pop_2","basic","NA",
"OthNH","ACS","2006-2010, 2013-2017","Demographic","Mutually Exclusive Race/Hispanic Origin",,"Pop_2","basic","NA",
"Rc2plNH","ACS","2006-2010, 2013-2017","Demographic","Mutually Exclusive Race/Hispanic Origin",,"Pop_2","basic","NA",
"Hsp2","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspMe","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspPR","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspCub","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspDom","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspCAm","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspCR","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspGuatm","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspHnd","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspNic","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspPan","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspSalv","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspOCAm","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspSAm","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspArg","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspBol","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspChl","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspCol","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspEc","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspPrg","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspPeru","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspUrg","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspVnz","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspOSAm","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspOth","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspSpnrd","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspSpnsh","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspSpAm","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"HspAllOth","ACS","2006-2010, 2013-2017","Demographic","Hispanic Subgroup",,"Hsp2","basic","NA",
"Asn1Rc","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnEast","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnChiNoT","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnJpn","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnKor","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnMgol","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnOkinw","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnTwn","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnSouth","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnInd","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnBng","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnBhutn","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnNepal","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnPak","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnSriL","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnSEast","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnBurm","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnCmb","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnFlp","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnHmng","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnIndnsn","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnLao","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnMalsn","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnThai","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnVtn","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"AsnOAsn","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"Asn2pl","ACS","2013-2017","Demographic","Asian Subgroup",,"Asn1Rc","basic","NA",
"MdPop_3","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop0t4","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop5t9","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop10t14","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop15t17","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop18t19","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop20","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop21","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop22t24","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop25t29","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop30t34","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop35t39","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop40t44","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop45t49","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop50t54","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop55t59","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop60t61","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop62t64","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop65t66","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop67t69","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop70t74","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop75t79","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop80t84","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"MdPop85pl","ACS","2006-2010, 2013-2017","Demographic","Demographic- Special Variable",,"MdAge","basic","not in profile",
"Pop","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"MPop0t5","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"MPop5t9","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"MPop10t14","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"MPop15t19","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"MPop20t24","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"MPop25t29","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"MPop30t34","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"MPop35t39","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"MPop40t44","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"MPop45t49","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"MPop50t54","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"MPop55t59","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"MPop60t64","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"MPop65t69","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"MPop70t74","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"MPop75t79","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"MPop80t84","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"MPop85pl","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"FPop0t5","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"FPop5t9","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"FPop10t14","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"FPop15t19","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"FPop20t24","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"FPop25t29","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"FPop30t34","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"FPop35t39","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"FPop40t44","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"FPop45t49","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"FPop50t54","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"FPop55t59","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"FPop60t64","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"FPop65t69","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"FPop70t74","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"FPop75t79","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"FPop80t84","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"FPop85pl","ACS","2006-2010, 2013-2017","Demographic","PopPyramid Only",,"Pop","basic","not in profile",
"HH1","ACS","2006-2010, 2013-2017","Social","Household Type",,"HH1","basic","NA",
"Fam1","ACS","2006-2010, 2013-2017","Social","Household Type",,"HH1","basic","NA",
"FamChU18","ACS","2006-2010, 2013-2017","Social","Household Type",,"HH1","basic","NA",
"MrdFam","ACS","2006-2010, 2013-2017","Social","Household Type",,"HH1","basic","NA",
"MrdChU18","ACS","2006-2010, 2013-2017","Social","Household Type",,"HH1","basic","NA",
"MHnW","ACS","2006-2010, 2013-2017","Social","Household Type",,"HH1","basic","NA",
"MHnWChU18","ACS","2006-2010, 2013-2017","Social","Household Type",,"HH1","basic","NA",
"FHnH","ACS","2006-2010, 2013-2017","Social","Household Type",,"HH1","basic","NA",
"FHnHChU18","ACS","2006-2010, 2013-2017","Social","Household Type",,"HH1","basic","NA",
"NFam1","ACS","2006-2010, 2013-2017","Social","Household Type",,"HH1","basic","NA",
"NFamA","ACS","2006-2010, 2013-2017","Social","Household Type",,"HH1","basic","NA",
"NFamA65pl","ACS","2006-2010, 2013-2017","Social","Household Type",,"HH1","basic","NA",
"HH1plU18","ACS","2006-2010, 2013-2017","Social","Household Type",,"HH1","basic","NA",
"HH1pl65pl","ACS","2006-2010, 2013-2017","Social","Household Type",,"HH1","basic","NA",
"AvgHHSz","ACS","2006-2010, 2013-2017","Social","Household Type",,"mean","mean","NA",
"AvgFmSz","ACS","2006-2010, 2013-2017","Social","Household Type",,"mean","mean","NA",
"HHPop","ACS","2006-2010, 2013-2017","Social","Relationship to Head of Household (Householder)",,"HHPop","basic","NA",
"RshpHHldr","ACS","2006-2010, 2013-2017","Social","Relationship to Head of Household (Householder)",,"HHPop","basic","NA",
"Rshp_Sp","ACS","2006-2010, 2013-2017","Social","Relationship to Head of Household (Householder)",,"HHPop","basic","NA",
"Rshp_Ch","ACS","2006-2010, 2013-2017","Social","Relationship to Head of Household (Householder)",,"HHPop","basic","NA",
"Rshp_OthR","ACS","2006-2010, 2013-2017","Social","Relationship to Head of Household (Householder)",,"HHPop","basic","NA",
"Rshp_NR","ACS","2006-2010, 2013-2017","Social","Relationship to Head of Household (Householder)",,"HHPop","basic","NA",
"Rshp_NRUP","ACS","2006-2010, 2013-2017","Social","Relationship to Head of Household (Householder)",,"HHPop","basic","NA",
"Rshp_SSUP","ACS","2006-2010, 2013-2017","Social","Relationship to Head of Household (Householder)",,"HHPop","basic","NA",
"MS_M15pl","ACS","2006-2010, 2013-2017","Social","Marital Status",,"MS_M15pl","basic","NA",
"MS_MNvMrd","ACS","2006-2010, 2013-2017","Social","Marital Status",,"MS_M15pl","basic","NA",
"MS_MMrdSp","ACS","2006-2010, 2013-2017","Social","Marital Status",,"MS_M15pl","basic","NA",
"MS_MSp","ACS","2006-2010, 2013-2017","Social","Marital Status",,"MS_M15pl","basic","NA",
"MS_MWd","ACS","2006-2010, 2013-2017","Social","Marital Status",,"MS_M15pl","basic","NA",
"MS_MDvcd","ACS","2006-2010, 2013-2017","Social","Marital Status",,"MS_M15pl","basic","NA",
"MS_F15pl","ACS","2006-2010, 2013-2017","Social","Marital Status",,"MS_F15pl","basic","NA",
"MS_FNvMrd","ACS","2006-2010, 2013-2017","Social","Marital Status",,"MS_F15pl","basic","NA",
"MS_FMrdSp","ACS","2006-2010, 2013-2017","Social","Marital Status",,"MS_F15pl","basic","NA",
"MS_FSp","ACS","2006-2010, 2013-2017","Social","Marital Status",,"MS_F15pl","basic","NA",
"MS_FWd","ACS","2006-2010, 2013-2017","Social","Marital Status",,"MS_F15pl","basic","NA",
"MS_FDvcd","ACS","2006-2010, 2013-2017","Social","Marital Status",,"MS_F15pl","basic","NA",
"GpLGcU18","ACS","2006-2010, 2013-2017","Social","Grandparents",,"GpLGcU18","basic","NA",
"GpRGcU18","ACS","2006-2010, 2013-2017","Social","Grandparents",,"GpLGcU18","basic","NA",
"Pop3plEn","ACS","2006-2010, 2013-2017","Social","School Enrollment",,"Pop3plEn","basic","NA",
"SE_NScPSc","ACS","2006-2010, 2013-2017","Social","School Enrollment",,"Pop3plEn","basic","NA",
"SE_Kndgtn","ACS","2006-2010, 2013-2017","Social","School Enrollment",,"Pop3plEn","basic","NA",
"SE_G1t8","ACS","2006-2010, 2013-2017","Social","School Enrollment",,"Pop3plEn","basic","NA",
"SE_G9t12","ACS","2006-2010, 2013-2017","Social","School Enrollment",,"Pop3plEn","basic","NA",
"SE_ClgGSc","ACS","2006-2010, 2013-2017","Social","School Enrollment",,"Pop3plEn","basic","NA",
"EA_P25pl","ACS","2006-2010, 2013-2017","Social","Educational Attainment (Highest Grade Completed)",,"EA_P25pl","basic","NA",
"EA_LT9G","ACS","2006-2010, 2013-2017","Social","Educational Attainment (Highest Grade Completed)",,"EA_P25pl","basic","NA",
"EA_9t12ND","ACS","2006-2010, 2013-2017","Social","Educational Attainment (Highest Grade Completed)",,"EA_P25pl","basic","NA",
"EA_HScGrd","ACS","2006-2010, 2013-2017","Social","Educational Attainment (Highest Grade Completed)",,"EA_P25pl","basic","NA",
"EA_SClgND","ACS","2006-2010, 2013-2017","Social","Educational Attainment (Highest Grade Completed)",,"EA_P25pl","basic","NA",
"EA_AscD","ACS","2006-2010, 2013-2017","Social","Educational Attainment (Highest Grade Completed)",,"EA_P25pl","basic","NA",
"EA_BchD","ACS","2006-2010, 2013-2017","Social","Educational Attainment (Highest Grade Completed)",,"EA_P25pl","basic","NA",
"EA_GrdPfD","ACS","2006-2010, 2013-2017","Social","Educational Attainment (Highest Grade Completed)",,"EA_P25pl","basic","NA",
"EA_LTHSGr","ACS","2006-2010, 2013-2017","Social","Educational Attainment (Highest Grade Completed)",,"EA_P25pl","basic","NA",
"EA_BchDH","ACS","2006-2010, 2013-2017","Social","Educational Attainment (Highest Grade Completed)",,"EA_P25pl","basic","NA",
"CvPop18pl","ACS","2006-2010, 2013-2017","Social","Veteran Status",,"CvPop18pl","basic","NA",
"CvVet18pl","ACS","2006-2010, 2013-2017","Social","Veteran Status",,"CvPop18pl","basic","NA",
"CvNIPop1","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNIPop1","basic","NA",
"CvNID","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNIPop1","basic","NA",
"CvNID_Hrg","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNIPop1","basic","NA",
"CvNID_Vsn","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNIPop1","basic","NA",
"CvNID_Cog","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNIPop1","basic","NA",
"CvNID_Amb","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNIPop1","basic","NA",
"CvNID_SCr","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNIPop1","basic","NA",
"CvNID_ILD","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNIPop1","basic","NA",
"CvNIU18_1","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNIU18_1","basic","NA",
"CvNIU18D","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNIU18_1","basic","NA",
"CU18DHrg","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNIU18_1","basic","NA",
"CU18DVsn","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNIU18_1","basic","NA",
"CU18DCog","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNIU18_1","basic","NA",
"CU18DAmb","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNIU18_1","basic","NA",
"CU18DSCr","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNIU18_1","basic","NA",
"CNI1864_1","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CNI1864_1","basic","NA",
"CNI18t64D","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CNI1864_1","basic","NA",
"C1864DHrg","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CNI1864_1","basic","NA",
"C1864DVsn","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CNI1864_1","basic","NA",
"C1864DCog","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CNI1864_1","basic","NA",
"C1864DAmb","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CNI1864_1","basic","NA",
"C1864DSCr","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CNI1864_1","basic","NA",
"C1864DILD","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CNI1864_1","basic","NA",
"CvNI65pl","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNI65pl","basic","NA",
"CvNI65plD","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNI65pl","basic","NA",
"C65plDHrg","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNI65pl","basic","NA",
"C65plDVsn","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNI65pl","basic","NA",
"C65plDCog","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNI65pl","basic","NA",
"C65plDAmb","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNI65pl","basic","NA",
"C65plDSCr","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNI65pl","basic","NA",
"C65plDILD","ACS","2013-2017","Social","Disability Status of the Civilian Noninstitutionalized Population",,"CvNI65pl","basic","NA",
"Pop1pl","ACS","2006-2010, 2013-2017","Social","Residence 1 Year Ago",,"Pop1pl","basic","NA",
"SmHs","ACS","2006-2010, 2013-2017","Social","Residence 1 Year Ago",,"Pop1pl","basic","NA",
"DfHs1","ACS","2006-2010, 2013-2017","Social","Residence 1 Year Ago",,"Pop1pl","basic","NA",
"DfHs2","ACS","2006-2010, 2013-2017","Social","Residence 1 Year Ago",,"DfHs2","basic","NA",
